"V1","V2","V3","V4"
"MA0770.1","108","178.4","-4.7353"
"MA0771.1","110","154.39","-3.3048"
"MA0772.1","93","218.41","-7.7389"
"MA0773.1","50","143.28","-7.03"
"MA0774.1","119","136.6","-1.6455"
"MA0775.1","124","135.15","-1.0718"
"MA0776.1","45","29.48","2.1668"
"MA0777.1","37","30.34","1.0171"
"MA0778.1","352","186.49","6.9309"
"MA0779.1","96","70.81","3.0989"
"MA0780.1","28","96.11","-4.8668"
"MA0781.1","116","70.98","5.7965"
"MA0782.2","168","193.41","-1.6438"
"MA0783.1","143","249.84","-5.9885"
"MA0784.1","91","206.76","-7.1264"
"MA0785.1","89","157.17","-5.3183"
"MA0786.1","158","206.25","-2.9993"
"MA0787.1","144","189.21","-2.7767"
"MA0788.1","58","180.79","-9.3264"
"MA0789.1","99","149.37","-4.0516"
"MA0790.1","42","210.9","-9.2358"
"MA0791.1","46","210.58","-8.9335"
"MA0792.1","102","118.9","-1.4262"
"MA0793.1","42","106.96","-6.4622"
"MA0794.1","76","67.63","0.974"
"MA0795.1","87","120.4","-2.3871"
"MA0796.1","132","200.78","-3.8579"
"MA0797.1","115","217.77","-4.9086"
"MA0798.2","225","175.87","3.5411"
"MA0799.1","254","132.36","8.4406"
"MA0800.1","75","136.37","-5.5982"
"MA0801.1","144","134.32","0.8235"
"MA0802.1","78","131.41","-4.8723"
"MA0803.1","85","87.84","-0.259"
"MA0804.1","33","123.02","-5.8135"
"MA0805.1","104","116.04","-1.011"
"MA0806.1","122","132.84","-0.9341"
"MA0807.1","122","131.33","-0.7366"
"MA0808.1","107","135.89","-2.2744"
"MA0809.2","139","188.94","-3.3977"
"MA0810.1","1079","273.43","39.1927"
"MA0811.1","852","273.85","26.3019"
"MA0812.1","978","254.94","28.088"
"MA0813.1","1295","286.98","42.762"
"MA0814.2","1044","337.22","32.1616"
"MA0815.1","1421","289.69","45.4733"
"MA0816.1","480","353.31","5.5903"
"MA0817.1","25","117.06","-6.8909"
"MA0818.1","19","105.72","-6.3579"
"MA0819.1","96","102.23","-0.4496"
"MA0820.1","176","188.43","-0.7993"
"MA0821.1","235","128.66","6.7394"
"MA0822.1","264","116.19","11.1188"
"MA0823.1","256","88.41","13.1523"
"MA0825.1","165","85.09","7.4677"
"MA0826.1","24","111.11","-5.6549"
"MA0827.1","38","122.36","-5.7742"
"MA0828.1","191","79.18","10.136"
"MA0829.2","123","118.79","0.3043"
"MA0830.2","480","325.71","7.2297"
"MA0831.2","183","89.7","10.0028"
"MA0832.1","150","195.85","-2.7763"
"MA0833.2","47","119.35","-6.2396"
"MA0834.1","207","62.21","14.6801"
"MA0835.2","57","131.24","-5.8971"
"MA0836.2","37","104.75","-6.2891"
"MA0837.1","32","30.69","0.2032"
"MA0838.1","33","30.39","0.4322"
"MA0839.1","111","62.95","5.9052"
"MA0840.1","190","70.08","10.3559"
"MA0841.1","88","133.67","-2.9755"
"MA0842.2","38","113.99","-6.4272"
"MA0843.1","22","66.11","-3.8523"
"MA0844.1","56","29.75","4.6965"
"MA0845.1","91","418.63","-10.3925"
"MA0846.1","161","542.68","-11.063"
"MA0847.2","109","394.64","-9.4847"
"MA0848.1","129","206.85","-4.9011"
"MA0849.1","129","207.38","-5.1534"
"MA0850.1","129","207.02","-5.2531"
"MA0851.1","135","512.89","-10.5096"
"MA0852.2","87","208.27","-7.7907"
"MA0853.1","19","119.39","-5.0037"
"MA0854.1","14","123.47","-5.9194"
"MA0855.1","213","195.25","1.2444"
"MA0856.1","205","180.56","1.8197"
"MA0857.1","146","258.45","-6.0705"
"MA0858.1","127","157.87","-2.1467"
"MA0859.1","149","215.13","-4.4502"
"MA0860.1","150","177.87","-1.8989"
"MA0861.1","174","161.33","0.6807"
"MA0862.1","15","9.71","1.3214"
"MA0863.1","127","95.94","3.0908"
"MA0864.2","69","13.95","12.739"
"MA0865.1","208","121.84","7.3643"
"MA0866.1","52","138.28","-5.9757"
"MA0867.2","202","290.36","-4.4983"
"MA0868.2","81","161.91","-6.0456"
"MA0869.1","52","165.12","-8.6501"
"MA0870.1","56","115.14","-4.1926"
"MA0871.2","252","98.53","13.2834"
"MA0872.1","1311","285.85","42.4127"
"MA0873.1","20","45.93","-3.7022"
"MA0874.1","15","130.76","-5.8334"
"MA0875.1","14","70.46","-6.6165"
"MA0876.1","23","55.49","-4.1286"
"MA0877.2","24","11.26","3.8875"
"MA0878.2","42","131.94","-6.9023"
"MA0879.1","20","88","-5.2969"
"MA0880.1","26","113.62","-7.3447"
"MA0881.1","15","77.33","-6.6051"
"MA0882.1","15","78.33","-6.9015"
"MA0883.1","21","73.97","-6.0572"
"MA0884.1","27","98.43","-6.547"
"MA0885.1","12","53.98","-5.5374"
"MA0886.1","27","66.63","-3.6997"
"MA0887.1","29","58.08","-3.4355"
"MA0888.1","30","55.33","-2.7365"
"MA0889.1","35","69.76","-3.5287"
"MA0890.1","39","82.18","-4.4898"
"MA0891.1","53","72.54","-2.241"
"MA0892.1","23","144.15","-6.4009"
"MA0893.2","12","54.44","-5.2765"
"MA0894.1","28","88.08","-4.3415"
"MA0895.1","32","55.37","-2.8821"
"MA0896.1","32","119.61","-7.705"
"MA0897.1","41","163.79","-8.2012"
"MA0898.1","43","194.8","-9.1326"
"MA0899.1","36","198.72","-10.5449"
"MA0900.2","33","58.77","-3.0958"
"MA0901.2","74","393.56","-12.3693"
"MA0902.2","15","27.4","-2.0969"
"MA0903.1","22","107.21","-6.9974"
"MA0904.2","16","29","-1.5907"
"MA0905.1","27","92.58","-6.3027"
"MA0906.1","23","46.67","-3.4287"
"MA0907.1","37","79.99","-4.8374"
"MA0908.1","22","49.35","-4.0447"
"MA0909.2","69","154.68","-6.7401"
"MA0910.2","29","47.29","-1.9839"
"MA0911.1","24","65.78","-5.7193"
"MA0912.2","15","27.75","-2.425"
"MA0913.2","33","130.15","-8.4569"
"MA0914.1","31","73.02","-4.3632"
"MA1099.2","411","67.97","34.2014"
"MA1100.2","608","394.27","7.1998"
"MA1101.2","60","129.44","-4.8357"
"MA1102.2","1469","292.97","53.6799"
"MA1103.2","81","185.66","-8.1206"
"MA1104.2","46","144.92","-6.9034"
"MA1105.2","84","150.88","-5.1019"
"MA1106.1","113","40.79","8.4954"
"MA1107.2","1915","3657.86","-7.7671"
"MA1108.2","71","239.14","-10.1305"
"MA1109.1","179","306.49","-8.8089"
"MA1110.1","83","116.72","-3.2018"
"MA1111.1","157","191.27","-2.4015"
"MA1112.2","124","199.17","-5.2466"
"MA1113.2","27","182.37","-12.9243"
"MA1114.1","217","226.92","-0.6279"
"MA1115.1","115","239.14","-7.1142"
"MA1116.1","1159","319.14","50.5906"
"MA1117.1","194","187.89","0.5093"
"MA1118.1","60","136.16","-6.8423"
"MA1119.1","78","159.09","-6.8867"
"MA1120.1","85","198.23","-7.9447"
"MA1121.1","146","172.87","-1.8966"
"MA1122.1","1099","93.75","101.3018"
"MA1123.2","117","271.92","-8.8397"
"MA1124.1","93","291.99","-7.381"
"MA1125.1","1843","2616.63","-4.4167"
"MA1126.1","87","89.99","-0.2458"
"MA1127.1","188","70.27","11.4657"
"MA1128.1","54","126.24","-5.9067"
"MA1129.1","180","75.34","7.9994"
"MA1130.1","53","127.91","-5.7566"
"MA1131.1","203","91.35","8.9944"
"MA1132.1","59","89.18","-3.3135"
"MA1133.1","174","65.78","12.0123"
"MA1134.1","55","125.72","-5.5695"
"MA1135.1","54","117.74","-4.7539"
"MA1136.1","181","77.09","9.0476"
"MA1137.1","39","120.25","-6.809"
"MA1138.1","53","117.19","-4.5503"
"MA1139.1","201","81.03","8.5541"
"MA1140.2","217","51.33","19.6487"
"MA1141.1","57","129.58","-5.3746"
"MA1142.1","41","109.97","-5.9254"
"MA1143.1","137","57.06","9.8872"
"MA1144.1","54","123.41","-4.9335"
"MA1145.1","194","94.34","8.2234"
"MA1146.1","97","131.55","-2.824"
"MA1147.1","99","123.8","-2.0322"
"MA1148.1","112","159.26","-3.4239"
"MA1149.1","160","170.65","-0.9243"
"MA1150.1","49","108.01","-5.3944"
"MA1151.1","49","100.8","-4.9618"
"MA1152.1","166","366.7","-7.9979"
"MA1153.1","141","161.37","-1.4763"
"MA1154.1","215","162.45","4.2926"
"MA1155.1","243","746.31","-8.6797"
"MA1418.1","265","475.54","-6.3674"
"MA1419.1","83","125.52","-3.7311"
"MA1420.1","121","125.39","-0.3416"
"MA1421.1","126","234.68","-7.0483"
"MA1463.1","36","119.16","-6.2993"
"MA1464.1","257","61","20.4681"
"MA1466.1","94","45.08","7.6853"
"MA1467.1","229","254.86","-1.3307"
"MA1468.1","32","119.69","-7.1876"
"MA1470.1","37","72.1","-3.3698"
"MA1471.1","19","126","-9.3962"
"MA1472.1","210","254.41","-2.0565"
"MA1473.1","41","136.28","-7.1439"
"MA1474.1","157","51.76","14.6825"
"MA1475.1","264","51.19","21.095"
"MA1476.1","7","34.04","-4.3994"
"MA1478.1","25","104.38","-6.9655"
"MA1479.1","27","139","-9.1147"
"MA1480.1","45","73.16","-3.4283"
"MA1481.1","42","199.22","-6.0849"
"MA1483.1","506","76.77","50.9667"
"MA1484.1","472","95.28","34.7213"
"MA1485.1","337","256.63","3.5142"
"MA1487.1","116","312.32","-10.6158"
"MA1489.1","37","62.71","-3.0893"
"MA1491.1","440","320.35","6.314"
"MA1493.1","144","93.64","5.1315"
"MA1494.1","167","159.54","0.5498"
"MA1495.1","16","27.22","-1.4481"
"MA1496.1","21","113.9","-9.1038"
"MA1497.1","20","69.68","-6.1559"
"MA1498.1","29","48.72","-2.1885"
"MA1499.1","42","186.65","-9.5386"
"MA1500.1","12","53.73","-5.9269"
"MA1501.1","29","65.82","-3.8641"
"MA1502.1","16","27.14","-1.483"
"MA1503.1","22","49.66","-3.5732"
"MA1504.1","16","71.63","-6.3196"
"MA1505.1","16","27.64","-1.5768"
"MA1506.1","26","56.37","-3.6771"
"MA1507.1","26","112.3","-8.5564"
"MA1508.1","394","529.77","-5.1281"
"MA1509.1","48","16.87","6.3687"
"MA1511.1","1279","441.46","29.7427"
"MA1512.1","1582","487.08","41.5139"
"MA1513.1","4186","152.02","186.0177"
"MA1514.1","866","542.97","11.0264"
"MA1515.1","1744","413.43","57.9908"
"MA1516.1","1182","227.73","53.8927"
"MA1517.1","856","297.79","30.854"
"MA1518.1","29","47.36","-2.0294"
"MA1519.1","12","54.52","-6.3614"
"MA1520.1","107","199.28","-4.2869"
"MA1521.1","161","209.73","-2.6508"
"MA1522.1","2499","528.77","64.688"
"MA1523.1","167","188.77","-1.4423"
"MA1524.1","78","151.61","-5.5067"
"MA1525.1","79","206.9","-8.8134"
"MA1527.1","275","234.88","2.4763"
"MA1528.1","367","266.63","4.8975"
"MA1529.1","564","273.98","13.9497"
"MA1530.1","41","104.35","-5.3989"
"MA1531.1","129","140.9","-0.9722"
"MA1532.1","75","120.34","-3.7269"
"MA1533.1","101","102.86","-0.1924"
"MA1534.1","48","111.86","-6.0163"
"MA1535.1","134","185.86","-3.6501"
"MA1536.1","112","140.69","-2.2121"
"MA1537.1","240","205.51","2.533"
"MA1538.1","133","140.59","-0.5522"
"MA1539.1","158","160.25","-0.1383"
"MA1540.1","250","280.12","-1.8328"
"MA1541.1","153","226.39","-4.4228"
"MA1542.1","104","135.49","-3.0979"
"MA1544.1","20","11.07","2.7362"
"MA1545.1","19","11.03","2.4031"
"MA1546.1","32","51.18","-2.934"
"MA1547.1","76","158.73","-7.4168"
"MA1548.1","760","269.99","19.3759"
"MA1549.1","42","117.61","-6.7365"
"MA1550.1","206","185.3","1.342"
"MA1552.1","115","116.28","-0.0946"
"MA1553.1","93","127.46","-2.2686"
"MA1554.1","91","72.88","2.0445"
"MA1555.1","109","129.1","-1.3677"
"MA1556.1","171","126.41","3.7083"
"MA1557.1","80","90.02","-0.7501"
"MA1558.1","331","270.94","3.165"
"MA1559.1","292","268.5","1.4101"
"MA1560.1","214","85.28","9.8217"
"MA1561.1","51","79.73","-3.4877"
"MA1562.1","56","88.5","-3.6329"
"MA1563.1","241","114.7","10.7361"
"MA1564.1","2154","419.08","68.6333"
"MA1565.1","187","186.62","0.0258"
"MA1566.1","142","132.32","0.7536"
"MA1567.1","114","115.98","-0.1873"
"MA1568.1","32","144.61","-8.1184"
"MA1569.1","1329","285.94","39.6901"
"MA1570.1","42","123.35","-5.2321"
"MA1571.1","127","207.09","-3.7604"
"MA1572.1","103","201.91","-4.4102"
"MA1573.1","2133","257.22","120.5114"
"MA1574.1","217","175.6","3.1008"
"MA1575.1","202","222.15","-0.9879"
"MA1576.1","176","257.65","-4.5652"
"MA1577.1","15","78.25","-6.8975"
"MA1578.1","1183","616.97","10.4325"
"MA1579.1","177","313.52","-6.7141"
"MA1580.1","40","102.4","-5.244"
"MA1581.1","342","251.08","5.1111"
"MA1583.1","147","30.49","21.1124"
"MA1584.1","736","186.07","36.065"
"MA1585.1","76","99.29","-2.5069"
"MA1587.1","500","357.57","5.8954"
"MA1588.1","66","147.42","-6.8951"
"MA1589.1","119","189.78","-4.9028"
"MA1592.1","120","250.57","-8.177"
"MA1593.1","121","271.22","-9.7103"
"MA1594.1","91","167.19","-6.2983"
"MA1596.1","2336","670.69","40.225"
"MA1597.1","269","314.47","-2.5964"
"MA1599.1","528","225.15","17.9796"
"MA1600.1","224","223.14","0.0524"
"MA1601.1","474","323.05","8.8348"
"MA1602.1","64","88","-2.2649"
"MA1603.1","59","143.21","-6.0891"
"MA1604.1","497","330.25","8.5943"
"MA1606.1","72","218.79","-8.9713"
"MA1607.1","83","261.89","-10.0521"
"MA1608.1","50","102.29","-5.0419"
"MA1615.1","757","412.1","13.832"
"MA1616.1","251","303.77","-2.8426"
"MA1618.1","106","242.48","-8.1496"
"MA1619.1","348","327.78","0.7832"
"MA1620.1","207","277.13","-3.9592"
"MA1621.1","208","264.67","-3.2016"
"MA1622.1","63","152.51","-5.7257"
"MA1623.1","307","753.67","-13.4624"
"MA1624.1","432","275","8.329"
"MA1625.1","442","269.43","10.1297"
"MA1627.1","1864","931.87","14.2656"
"MA1628.1","695","351.69","17.6454"
"MA1629.1","613","422.77","7.779"
"MA1630.1","1056","426.28","25.1816"
"MA1631.1","607","363.59","11.5491"
"MA1632.1","120","137.83","-1.4141"
"MA1633.1","147","210.17","-3.608"
"MA1634.1","64","140.67","-5.7211"
"MA1635.1","660","371.55","9.5523"
"MA1636.1","30","115.88","-6.8802"
"MA1637.1","517","328.8","9.3635"
"MA1638.1","110","236.81","-8.8293"
"MA1639.1","29","133.45","-9.2803"
"MA1640.1","29","187.3","-12.1393"
"MA1641.1","352","313.61","1.334"
"MA1642.1","143","292.16","-8.6966"
"MA1643.1","342","307.8","1.4517"
"MA1644.1","264","153.33","8.124"
"MA1645.1","71","151.08","-6.7574"
"MA1646.1","290","399.1","-4.7909"
"MA1647.1","161","293.83","-6.8557"
"MA1648.1","515","303.72","11.9382"
"MA1649.1","166","240.23","-4.6477"
"MA1650.1","1467","78.21","133.8331"
"MA1651.1","439","258.4","11.34"
"MA1652.1","485","428.73","2.7523"
"MA1653.1","4321","1348.75","32.3203"
"MA1654.1","298","314.18","-0.9754"
"MA1655.1","247","234.48","0.8038"
"MA1656.1","383","241.36","7.529"
"MA1657.1","63","131.3","-6.3094"
"MA1683.1","87","182.76","-6.7444"
